symbol,name
20MICRONS,20 MICRONS LIMITED
21STCENMGM,21ST CENTURY MANAGEMENT SERVICES LIMITED
360ONE,360 ONE WAM LIMITED
3IINFOLTD,3I INFOTECH LIMITED
3MINDIA,3M INDIA LIMITED
3PLAND,3P LAND HOLDINGS LIMITED
4THDIM,FOURTH DIMENSION SOLUTIONS LIMITED
5PAISA,5PAISA CAPITAL LIMITED
63MOONS,63 MOONS TECHNOLOGIES LIMITED
A2ZINFRA,A2Z INFRA ENGINEERING LIMITED
AAATECH,AAA TECHNOLOGIES LIMITED
AAKASH,AAKASH EXPLORATION SERVICES LIMITED
AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS LIMITED
AARON,AARON INDUSTRIES LIMITED
AARTIDRUGS,AARTI DRUGS LIMITED
AARTIIND,AARTI INDUSTRIES LIMITED
AARTIPHARM,AARTI PHARMALABS LIMITED
AARTISURF,AARTI SURFACTANTS LIMITED
AARVEEDEN,AARVEE DENIMS & EXPORTS LIMITED
AARVI,AARVI ENCON LIMITED
AAVAS,AAVAS FINANCIERS LIMITED
ABAN,ABAN OFFSHORE LIMITED
ABB,ABB INDIA LIMITED
ABBOTINDIA,ABBOTT INDIA LIMITED
ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED
ABFRL,ADITYA BIRLA FASHION AND RETAIL LIMITED
ABMINTLLTD,ABM INTERNATIONAL LIMITED
ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMITED
ACC,ACC LIMITED
ACCELYA,ACCELYA SOLUTIONS INDIA LIMITED
ACCURACY,ACCURACY SHIPPING LIMITED
ACE,ACTION CONSTRUCTION EQUIPMENT LIMITED
ACEINTEG,ACE INTEGRATED SOLUTIONS LIMITED
ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED
ADANIENT,ADANI ENTERPRISES LIMITED
ADANIGREEN,ADANI GREEN ENERGY LIMITED
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED
ADANIPOWER,ADANI POWER LIMITED
ADANITRANS,ADANI TRANSMISSION LIMITED
ADFFOODS,ADF FOODS LIMITED
ADL,ARCHIDPLY DECOR LIMITED
ADORWELD,ADOR WELDING LIMITED
ADROITINFO,ADROIT INFOTECH LIMITED
ADSL,ALLIED DIGITAL SERVICES LIMITED
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LIMITED
ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LIMITED
AEGISCHEM,AEGIS LOGISTICS LIMITED
AETHER,AETHER INDUSTRIES LIMITED
AFFLE,AFFLE (INDIA) LIMITED
AGARIND,AGARWAL INDUSTRIAL CORPORATION LIMITED
AGI,AGI GREENPAC LIMITED
AGRITECH,AGRI-TECH (INDIA) LIMITED
AGROPHOS,AGRO PHOS INDIA LIMITED
AGSTRA,AGS TRANSACT TECHNOLOGIES LIMITED
AHL,ABANS HOLDINGS LIMITED
AHLADA,AHLADA ENGINEERS LIMITED
AHLEAST,ASIAN HOTELS (EAST) LIMITED
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LIMITED
AIAENG,AIA ENGINEERING LIMITED
AIRAN,AIRAN LIMITED
AIROLAM,AIRO LAM LIMITED
AJANTPHARM,AJANTA PHARMA LIMITED
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED
AJOONI,AJOONI BIOTECH LIMITED
AKASH,AKASH INFRA-PROJECTS LIMITED
AKG,AKG EXIM LIMITED
AKSHAR,AKSHAR SPINTEX LIMITED
AKSHARCHEM,AKSHARCHEM INDIA LIMITED
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED
AKZOINDIA,AKZO NOBEL INDIA LIMITED
ALANKIT,ALANKIT LIMITED
ALBERTDAVD,ALBERT DAVID LIMITED
ALEMBICLTD,ALEMBIC LIMITED
ALICON,ALICON CASTALLOY LIMITED
ALKALI,ALKALI METALS LIMITED
ALKEM,ALKEM LABORATORIES LIMITED
ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED
ALLCARGO,ALLCARGO LOGISTICS LIMITED
ALLSEC,ALLSEC TECHNOLOGIES LIMITED
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED
ALOKINDS,ALOK INDUSTRIES LIMITED
ALPA,ALPA LABORATORIES LIMITED
ALPHAGEO,ALPHAGEO (INDIA) LIMITED
ALPSINDUS,ALPS INDUSTRIES LIMITED
AMARAJABAT,AMARA RAJA BATTERIES LIMITED
AMBER,AMBER ENTERPRISES INDIA LIMITED
AMBICAAGAR,AMBICA AGARBATHIES & AROMA INDUSTRIES LIMITED
AMBIKCO,AMBIKA COTTON MILLS LIMITED
AMBUJACEM,AMBUJA CEMENTS LIMITED
AMDIND,AMD INDUSTRIES LIMITED
AMIORG,AMI ORGANICS LIMITED
AMJLAND,AMJ LAND HOLDINGS LIMITED
AMRUTANJAN,AMRUTANJAN HEALTH CARE LIMITED
ANANDRATHI,ANAND RATHI WEALTH LIMITED
ANANTRAJ,ANANT RAJ LIMITED
ANDHRAPAP,ANDHRA PAPER LIMITED
ANDHRSUGAR,THE ANDHRA SUGARS LIMITED
ANDREWYU,ANDREW YULE & COMPANY LIMITED
ANGELONE,ANGEL ONE LIMITED
ANIKINDS,ANIK INDUSTRIES LIMITED
ANKITMETAL,ANKIT METAL & POWER LIMITED
ANMOL,ANMOL INDIA LIMITED
ANTGRAPHIC,ANTARCTICA LIMITED
ANUP,THE ANUP ENGINEERING LIMITED
ANURAS,ANUPAM RASAYAN INDIA LIMITED
APARINDS,APAR INDUSTRIES LIMITED
APCL,ANJANI PORTLAND CEMENT LIMITED
APCOTEXIND,APCOTEX INDUSTRIES LIMITED
APEX,APEX FROZEN FOODS LIMITED
APLAPOLLO,APL APOLLO TUBES LIMITED
APLLTD,ALEMBIC PHARMACEUTICALS LIMITED
APOLLO,APOLLO MICRO SYSTEMS LIMITED
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LIMITED
APOLLOPIPE,APOLLO PIPES LIMITED
APOLLOTYRE,APOLLO TYRES LIMITED
APOLSINHOT,APOLLO SINDOORI HOTELS LIMITED
APTECHT,APTECH LIMITED
APTUS,APTUS VALUE HOUSING FINANCE INDIA LIMITED
ARCHIDPLY,ARCHIDPLY INDUSTRIES LIMITED
ARCHIES,ARCHIES LIMITED
ARENTERP,RAJDARSHAN INDUSTRIES LIMITED
ARIES,ARIES AGRO LIMITED
ARIHANTCAP,ARIHANT CAPITAL MARKETS LIMITED
ARIHANTSUP,ARIHANT SUPERSTRUCTURES LIMITED
ARMANFIN,ARMAN FINANCIAL SERVICES LIMITED
AROGRANITE,ARO GRANITE INDUSTRIES LIMITED
ARROWGREEN,ARROW GREENTECH LIMITED
ARSHIYA,ARSHIYA LIMITED
ARTEMISMED,ARTEMIS MEDICARE SERVICES LIMITED
ARTNIRMAN,ART NIRMAN LIMITED
ARVEE,ARVEE LABORATORIES (INDIA) LIMITED
ARVIND,ARVIND LIMITED
ARVINDFASN,ARVIND FASHIONS LIMITED
ARVSMART,ARVIND SMARTSPACES LIMITED
ASAHIINDIA,ASAHI INDIA GLASS LIMITED
ASAHISONG,ASAHI SONGWON COLORS LIMITED
ASAL,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LIMITED
ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.
ASHAPURMIN,ASHAPURA MINECHEM LIMITED
ASHIANA,ASHIANA HOUSING LIMITED
ASHIMASYN,ASHIMA LIMITED
ASHOKA,ASHOKA BUILDCON LIMITED
ASHOKLEY,ASHOK LEYLAND LIMITED
ASIANENE,ASIAN ENERGY SERVICES LIMITED
ASIANHOTNR,ASIAN HOTELS (NORTH) LIMITED
ASIANPAINT,ASIAN PAINTS LIMITED
ASIANTILES,ASIAN GRANITO INDIA LIMITED
ASMS,BARTRONICS INDIA LIMITED
ASPINWALL,ASPINWALL AND COMPANY LIMITED
ASTEC,ASTEC LIFESCIENCES LIMITED
ASTERDM,ASTER DM HEALTHCARE LIMITED
ASTRAL,ASTRAL LIMITED
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED
ASTRAZEN,ASTRAZENECA PHARMA INDIA LIMITED
ASTRON,ASTRON PAPER & BOARD MILL LIMITED
ATFL,AGRO TECH FOODS LIMITED
ATGL,ADANI TOTAL GAS LIMITED
ATLANTA,ATLANTA  LIMITED
ATUL,ATUL LIMITED
ATULAUTO,ATUL AUTO LIMITED
AUBANK,AU SMALL FINANCE BANK LIMITED
AURIONPRO,AURIONPRO SOLUTIONS LIMITED
AUROPHARMA,AUROBINDO PHARMA LIMITED
AURUM,AURUM PROPTECH LIMITED
AUSOMENT,AUSOM ENTERPRISE LIMITED
AUTOAXLES,AUTOMOTIVE AXLES LIMITED
AUTOIND,AUTOLINE INDUSTRIES LIMITED
AVADHSUGAR,AVADH SUGAR & ENERGY LIMITED
AVANTIFEED,AVANTI FEEDS LIMITED
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED
AVROIND,AVRO INDIA LIMITED
AVTNPL,AVT NATURAL PRODUCTS LIMITED
AWHCL,ANTONY WASTE HANDLING CELL LIMITED
AWL,ADANI WILMAR LIMITED
AXISBANK,AXIS BANK LIMITED
AXISCADES,AXISCADES TECHNOLOGIES LIMITED
AXITA,AXITA COTTON LIMITED
AYMSYNTEX,AYM SYNTEX LIMITED
BAFNAPH,BAFNA PHARMACEUTICALS LIMITED
BAGFILMS,B.A.G FILMS AND MEDIA LIMITED
BAIDFIN,BAID FINSERV LIMITED
BAJAJ-AUTO,BAJAJ AUTO LIMITED
BAJAJCON,BAJAJ CONSUMER CARE LIMITED
BAJAJELEC,BAJAJ ELECTRICALS LIMITED
BAJAJFINSV,BAJAJ FINSERV LIMITED
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LIMITED
BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LIMITED
BAJFINANCE,BAJAJ FINANCE LIMITED
BALAJITELE,BALAJI TELEFILMS LIMITED
BALAMINES,BALAJI AMINES LIMITED
BALAXI,BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA,BALKRISHNA PAPER MILLS LIMITED
BALKRISIND,BALKRISHNA INDUSTRIES LIMITED
BALLARPUR,BALLARPUR INDUSTRIES LIMITED
BALMLAWRIE,BALMER LAWRIE & COMPANY LIMITED
BALPHARMA,BAL PHARMA LIMITED
BALRAMCHIN,BALRAMPUR CHINI MILLS LIMITED
BANARBEADS,BANARAS BEADS LIMITED
BANARISUG,BANNARI AMMAN SUGARS LIMITED
BANCOINDIA,BANCO PRODUCTS (I) LIMITED
BANDHANBNK,BANDHAN BANK LIMITED
BANG,BANG OVERSEAS LIMITED
BANKA,BANKA BIOLOO LIMITED
BANKBARODA,BANK OF BARODA
BANKINDIA,BANK OF INDIA
BANSWRAS,BANSWARA SYNTEX LIMITED
BARBEQUE,BARBEQUE NATION HOSPITALITY LIMITED
BASF,BASF INDIA LIMITED
BASML,BANNARI AMMAN SPINNING MILLS LIMITED
BATAINDIA,BATA INDIA LIMITED
BAYERCROP,BAYER CROPSCIENCE LIMITED
BBL,BHARAT BIJLEE LIMITED
BBOX,BLACK BOX LIMITED
BBTC,BOMBAY BURMAH TRADING CORPORATION LIMITED
BBTCL,B&B TRIPLEWALL CONTAINERS LIMITED
BCG,BRIGHTCOM GROUP LIMITED
BCLIND,BCL INDUSTRIES LIMITED
BCONCEPTS,BRAND CONCEPTS LIMITED
BCP,B.C. POWER CONTROLS LTD
BDL,BHARAT DYNAMICS LIMITED
BEARDSELL,BEARDSELL LIMITED
BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LIMITED
BEDMUTHA,BEDMUTHA INDUSTRIES LIMITED
BEL,BHARAT ELECTRONICS LIMITED
BEML,BEML LIMITED
BEPL,BHANSALI ENGINEERING POLYMERS LIMITED
BERGEPAINT,BERGER PAINTS (I) LIMITED
BESTAGRO,BEST AGROLIFE LIMITED
BFINVEST,BF INVESTMENT LIMITED
BFUTILITIE,BF UTILITIES LIMITED
BGRENERGY,BGR ENERGY SYSTEMS LIMITED
BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED
BHAGERIA,BHAGERIA INDUSTRIES LIMITED
BHAGYANGR,BHAGYANAGAR INDIA LIMITED
BHANDARI,BHANDARI HOSIERY EXPORTS LIMITED
BHARATFORG,BHARAT FORGE LIMITED
BHARATGEAR,BHARAT GEARS LIMITED
BHARATRAS,BHARAT RASAYAN LIMITED
BHARATWIRE,BHARAT WIRE ROPES LIMITED
BHARTIARTL,BHARTI AIRTEL LIMITED
BHEL,BHARAT HEAVY ELECTRICALS LIMITED
BIGBLOC,BIGBLOC CONSTRUCTION LIMITED
BIKAJI,BIKAJI FOODS INTERNATIONAL LIMITED
BIL,BHARTIYA INTERNATIONAL LIMITED
BINANIIND,BINANI INDUSTRIES LIMITED
BINDALAGRO,OSWAL CHEMICALS & FERTILIZERS LIMITED
BIOCON,BIOCON LIMITED
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LIMITED
BIRLACABLE,BIRLA CABLE LIMITED
BIRLACORPN,BIRLA CORPORATION LIMITED
BIRLAMONEY,ADITYA BIRLA MONEY LIMITED
BKMINDST,BKM INDUSTRIES LIMITED
BLBLIMITED,BLB LIMITED
BLISSGVS,BLISS GVS PHARMA LIMITED
BLKASHYAP,B. L. KASHYAP AND SONS LIMITED
BLS,BLS INTERNATIONAL SERVICES LIMITED
BLUEDART,BLUE DART EXPRESS LIMITED
BLUESTARCO,BLUE STAR LIMITED
BODALCHEM,BODAL CHEMICALS LIMITED
BOHRAIND,BOHRA INDUSTRIES LIMITED
BOMDYEING,BOMBAY DYEING & MFG COMPANY LIMITED
BOROLTD,BOROSIL LIMITED
BORORENEW,BOROSIL RENEWABLES LIMITED
BOSCHLTD,BOSCH LIMITED
BPCL,BHARAT PETROLEUM CORPORATION LIMITED
BPL,BPL LIMITED
BRIGADE,BRIGADE ENTERPRISES LIMITED
BRITANNIA,BRITANNIA INDUSTRIES LIMITED
BRNL,BHARAT ROAD NETWORK LIMITED
BROOKS,BROOKS LABORATORIES LIMITED
BSE,BSE LIMITED
BSHSL,BOMBAY SUPER HYBRID SEEDS LIMITED
BSL,BSL LIMITED
BSOFT,BIRLASOFT LIMITED
BTML,BODHI TREE MULTIMEDIA LIMITED
BURNPUR,BURNPUR CEMENT LIMITED
BUTTERFLY,BUTTERFLY GANDHIMATHI APPLIANCES LIMITED
BVCL,BARAK VALLEY CEMENTS LIMITED
BYKE,THE BYKE HOSPITALITY LTD
CALSOFT,CALIFORNIA SOFTWARE COMPANY LIMITED
CAMLINFINE,CAMLIN FINE SCIENCES LIMITED
CAMPUS,CAMPUS ACTIVEWEAR LIMITED
CAMS,COMPUTER AGE MANAGEMENT SERVICES LIMITED
CANBK,CANARA BANK
CANFINHOME,CAN FIN HOMES LIMITED
CANTABIL,CANTABIL RETAIL INDIA LIMITED
CAPACITE,CAPACIT'E INFRAPROJECTS LIMITED
CAPLIPOINT,CAPLIN POINT LABORATORIES LIMITED
CAPTRUST,CAPITAL TRUST LIMITED
CARBORUNIV,CARBORUNDUM UNIVERSAL LIMITED
CAREERP,CAREER POINT LIMITED
CARERATING,CARE RATINGS LIMITED
CARTRADE,CARTRADE TECH LIMITED
CARYSIL,CARYSIL LIMITED
CASTROLIND,CASTROL INDIA LIMITED
CCHHL,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED
CCL,CCL PRODUCTS (INDIA) LIMITED
CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED
CEATLTD,CEAT LIMITED
CELEBRITY,CELEBRITY FASHIONS LIMITED
CENTENKA,CENTURY ENKA LIMITED
CENTEXT,CENTURY EXTRUSIONS LIMITED
CENTRALBK,CENTRAL BANK OF INDIA
CENTRUM,CENTRUM CAPITAL LIMITED
CENTUM,CENTUM ELECTRONICS LIMITED
CENTURYPLY,CENTURY PLYBOARDS (INDIA) LIMITED
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LIMITED
CERA,CERA SANITARYWARE LIMITED
CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIES LIMITED
CESC,CESC LIMITED
CGCL,CAPRI GLOBAL CAPITAL LIMITED
CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED
CHALET,CHALET HOTELS LIMITED
CHAMBLFERT,CHAMBAL FERTILIZERS & CHEMICALS LIMITED
CHEMBOND,CHEMBOND CHEMICALS LTD
CHEMCON,CHEMCON SPECIALITY CHEMICALS LIMITED
CHEMFAB,CHEMFAB ALKALIS LIMITED
CHEMPLASTS,CHEMPLAST SANMAR LIMITED
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LIMITED
CHEVIOT,CHEVIOT COMPANY LIMITED
CHOICEIN,CHOICE INTERNATIONAL LIMITED
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED
CIGNITITEC,CIGNITI TECHNOLOGIES LIMITED
CINELINE,CINELINE INDIA LIMITED
CINEVISTA,CINEVISTA LIMITED
CIPLA,CIPLA LIMITED
CLEAN,CLEAN SCIENCE AND TECHNOLOGY LIMITED
CLEDUCATE,CL EDUCATE LIMITED
CLSEL,CHAMAN LAL SETIA EXPORTS LIMITED
CMICABLES,CMI LIMITED
CMSINFO,CMS INFO SYSTEMS LIMITED
COALINDIA,COAL INDIA LIMITED
COASTCORP,COASTAL CORPORATION LIMITED
COCHINSHIP,COCHIN SHIPYARD LIMITED
COFFEEDAY,COFFEE DAY ENTERPRISES LIMITED
COFORGE,COFORGE LIMITED
COLPAL,COLGATE PALMOLIVE (INDIA) LIMITED
COMPINFO,COMPUAGE INFOCOM LIMITED
COMPUSOFT,COMPUCOM SOFTWARE LIMITED
CONCOR,CONTAINER CORPORATION OF INDIA LIMITED
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED
CONSOFINVT,CONSOLIDATED FINVEST & HOLDINGS LIMITED
CONTROLPR,CONTROL PRINT LIMITED
CORALFINAC,CORAL INDIA FINANCE & HOUSING LIMITED
CORDSCABLE,CORDS CABLE INDUSTRIES LIMITED
COROMANDEL,COROMANDEL INTERNATIONAL LIMITED
COSMOFIRST,COSMO FIRST LIMITED
COUNCODOS,COUNTRY CONDO'S LIMITED
CRAFTSMAN,CRAFTSMAN AUTOMATION LIMITED
CREATIVE,CREATIVE NEWTECH LIMITED
CREATIVEYE,CREATIVE EYE LIMITED
CREDITACC,CREDITACCESS GRAMEEN LIMITED
CREST,CREST VENTURES LIMITED
CRISIL,CRISIL LIMITED
CROMPTON,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED
CROWN,CROWN LIFTERS LIMITED
CSBBANK,CSB BANK LIMITED
CSLFINANCE,CSL FINANCE LIMITED
CTE,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED
CUB,CITY UNION BANK LIMITED
CUBEXTUB,CUBEX TUBINGS LIMITED
CUMMINSIND,CUMMINS INDIA LIMITED
CUPID,CUPID LIMITED
CYBERMEDIA,CYBER MEDIA (INDIA) LIMITED
CYBERTECH,CYBERTECH SYSTEMS AND SOFTWARE LIMITED
CYIENT,CYIENT LIMITED
DAAWAT,LT FOODS LIMITED
DABUR,DABUR INDIA LIMITED
DALBHARAT,DALMIA BHARAT LIMITED
DALMIASUG,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED
DAMODARIND,DAMODAR INDUSTRIES LIMITED
DANGEE,DANGEE DUMS LIMITED
DATAMATICS,DATAMATICS GLOBAL SERVICES LIMITED
DATAPATTNS,DATA PATTERNS (INDIA) LIMITED
DBCORP,D.B.CORP LIMITED
DBL,DILIP BUILDCON LIMITED
DBOL,DHAMPUR BIO ORGANICS LIMITED
DBREALTY,D B REALTY LIMITED
DBSTOCKBRO,DB (INTERNATIONAL) STOCK BROKERS LIMITED
DCAL,DISHMAN CARBOGEN AMCIS LIMITED
DCBBANK,DCB BANK LIMITED
DCI,DC INFOTECH AND COMMUNICATION LIMITED
DCM,DCM  LIMITED
DCMFINSERV,DCM FINANCIAL SERVICES LIMITED
DCMNVL,DCM NOUVELLE LIMITED
DCMSHRIRAM,DCM SHRIRAM LIMITED
DCMSRIND,DCM SHRIRAM INDUSTRIES LIMITED
DCW,DCW LIMITED
DCXINDIA,DCX SYSTEMS LIMITED
DECCANCE,DECCAN CEMENTS LIMITED
DEEPAKFERT,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED
DEEPAKNTR,DEEPAK NITRITE LIMITED
DEEPENR,DEEP ENERGY RESOURCES LIMITED
DEEPINDS,DEEP INDUSTRIES LIMITED
DELHIVERY,DELHIVERY LIMITED
DELPHIFX,DELPHI WORLD MONEY LIMITED
DELTACORP,DELTA CORP LIMITED
DELTAMAGNT,DELTA MANUFACTURING LIMITED
DEN,DEN NETWORKS LIMITED
DENORA,DE NORA INDIA LIMITED
DEVIT,DEV INFORMATION TECHNOLOGY LIMITED
DEVYANI,DEVYANI INTERNATIONAL LIMITED
DFMFOODS,DFM FOODS LIMITED
DGCONTENT,DIGICONTENT LIMITED
DHAMPURSUG,DHAMPUR SUGAR MILLS LIMITED
DHANBANK,DHANLAXMI BANK LIMITED
DHANI,DHANI SERVICES LIMITED
DHANUKA,DHANUKA AGRITECH LIMITED
DHARMAJ,DHARMAJ CROP GUARD LIMITED
DHARSUGAR,DHARANI SUGARS&CHEMICALS LIMITED
DHRUV,DHRUV CONSULTANCY SERVICES LIMITED
DHUNINV,DHUNSERI INVESTMENTS LIMITED
DIAMONDYD,PRATAAP SNACKS LIMITED
DICIND,DIC INDIA LIMITED
DIGISPICE,DIGISPICE TECHNOLOGIES LIMITED
DIGJAMLMTD,DIGJAM LIMITED
DIL,DEBOCK INDUSTRIES LIMITED
DISHTV,DISH TV INDIA LIMITED
DIVGIITTS,DIVGI TORQTRANSFER SYSTEMS LIMITED
DIVISLAB,DIVI'S LABORATORIES LIMITED
DIXON,DIXON TECHNOLOGIES (INDIA) LIMITED
DJML,DJ MEDIAPRINT & LOGISTICS LIMITED
DLF,DLF LIMITED
DLINKINDIA,D-LINK (INDIA) LIMITED
DMART,AVENUE SUPERMARTS LIMITED
DMCC,DMCC SPECIALITY CHEMICALS LIMITED
DNAMEDIA,DILIGENT MEDIA CORPORATION LIMITED
DODLA,DODLA DAIRY LIMITED
DOLATALGO,DOLAT ALGOTECH LIMITED
DOLLAR,DOLLAR INDUSTRIES LIMITED
DONEAR,DONEAR INDUSTRIES LIMITED
DPABHUSHAN,D. P. ABHUSHAN LIMITED
DPSCLTD,DPSC LIMITED
DPWIRES,D P WIRES LIMITED
DRCSYSTEMS,DRC SYSTEMS INDIA LIMITED
DREAMFOLKS,DREAMFOLKS SERVICES LIMITED
DREDGECORP,DREDGING CORPORATION OF INDIA LIMITED
DRREDDY,DR. REDDY'S LABORATORIES LIMITED
DSSL,DYNACONS SYSTEMS & SOLUTIONS LIMITED
DTIL,DHUNSERI TEA & INDUSTRIES LIMITED
DUCON,DUCON INFRATECHNOLOGIES LIMITED
DVL,DHUNSERI VENTURES LIMITED
DWARKESH,DWARIKESH SUGAR INDUSTRIES LIMITED
DYCL,DYNAMIC CABLES LIMITED
DYNAMATECH,DYNAMATIC TECHNOLOGIES LIMITED
DYNPRO,DYNEMIC PRODUCTS LIMITED
E2E,E2E NETWORKS LIMITED
EASEMYTRIP,EASY TRIP PLANNERS LIMITED
EASTSILK,EASTERN SILK INDUSTRIES LIMITED
ECLERX,ECLERX SERVICES LIMITED
EDELWEISS,EDELWEISS FINANCIAL SERVICES LIMITED
EDUCOMP,EDUCOMP SOLUTIONS LIMITED
EICHERMOT,EICHER MOTORS LIMITED
EIDPARRY,EID PARRY INDIA LIMITED
EIFFL,EURO INDIA FRESH FOODS LIMITED
EIHAHOTELS,EIH ASSOCIATED HOTELS LIMITED
EIHOTEL,EIH LIMITED
EIMCOELECO,EIMCO ELECON (INDIA) LIMITED
EKC,EVEREST KANTO CYLINDER LIMITED
ELDEHSG,ELDECO HOUSING AND INDUSTRIES LIMITED
ELECON,ELECON ENGINEERING COMPANY LIMITED
ELECTCAST,ELECTROSTEEL CASTINGS LIMITED
ELECTHERM,ELECTROTHERM (INDIA) LIMITED
ELGIEQUIP,ELGI EQUIPMENTS LIMITED
ELGIRUBCO,ELGI RUBBER COMPANY LIMITED
ELIN,ELIN ELECTRONICS LIMITED
EMAMILTD,EMAMI LIMITED
EMAMIPAP,EMAMI PAPER MILLS LIMITED
EMAMIREAL,EMAMI REALTY LIMITED
EMIL,ELECTRONICS MART INDIA LIMITED
EMKAY,EMKAY GLOBAL FINANCIAL SERVICES LIMITED
